horizon,nominal_rate_OP,nominal_rate_NP
-4,0.12932448299188132,0.209336881752219
-3,0.10886140396853898,0.1896425824587982
-2,0.0410707051178057,0.1299207386574242
-1,-0.07214609306733992,0.03801656676752097
0,0.11419029134617466,0.2021618747416446
1,0.08919974045570588,0.18171870196630538
2,0.0789700680005363,0.17217956307973545
3,0.07677092829071124,0.1696242699461549
4,0.07625759541093259,0.16886473454874248
5,0.07752083250529751,0.169653871162912
6,0.07623078152824567,0.16834792717495337
7,0.08041908862533596,0.17183962048114107
8,0.08186812754033461,0.17317908986510203
