horizon,a,pi_OP,pi_NP,wage_pressure_OP,wage_pressure_NP,u_OP,u_NP,output_gap_OP,output_gap_NP,welfare_OP,welfare_NP,welfare_difference_OP_minus_NP
-4,-0.14815728183143123,0.05416756204465465,0.13978496242563646,0.07678767088436401,0.1521899590450205,0.08300780534374388,0.07580991171535816,-0.08300780534374387,-0.07580991171535814,-1.1605730876862501,-1.1644174930923286,0.003844405406078444
-3,-0.12716677817952976,0.03459119327053412,0.11738029979258696,0.025051924086055576,0.09782671440988976,0.06881384178372464,0.06337779491958465,-0.06881384178372464,-0.06337779491958465,-1.1371550925447176,-1.140096144417667,0.0029410518729493518
-2,0.004832001800533424,-0.017386417623743378,0.063894726470415,-0.1025962657001093,-0.032225525156364655,0.036440099634723985,0.034122129588918984,-0.036440099634723985,-0.03412212958891898,-1.0005159527339031,-1.0012249604015828,0.000709007667679673
-1,0.2953160138923722,-0.09090973852302908,0.0,-0.3052624670720205,-0.23617349459198572,4.343180920741103e-06,0.0,-4.343180920741103e-06,0.0,-0.7071187336251104,-0.7046839861076245,-0.002434747517485847
0,0.0314631373824434,0.07672959123343065,0.17163260690193555,0.18657959876535324,0.2638528765099283,0.11017740230625633,0.0922202696079922,-0.11017740230625629,-0.09222026960799223,-0.98212747245827,-0.9862767430279603,0.004149270569690278
1,0.028000598424796058,0.04504839458663169,0.14083570783108573,0.06868269150606367,0.14935025482429246,0.08641420674660859,0.07656555771566645,-0.08641420674660859,-0.07656555771566646,-0.9851393798002753,-0.9888520462304909,0.0037126664302156165
2,0.028169171439860332,0.03310592741737648,0.12794334301966767,0.038122562383572874,0.11954177864135801,0.07695944640238694,0.06937494823397625,-0.07695944640238696,-0.06937494823397625,-0.9833329609993416,-0.9866682651135006,0.0033353041141589435
3,0.026721270110303216,0.030024878984560233,0.12401682009117007,0.029587939634327137,0.11019974289627486,0.07478114946478433,0.06723074824105975,-0.0747811494647843,-0.06723074824105975,-0.9845265232668198,-0.9876195403207787,0.003093017053958924
4,0.02532370162963022,0.029124122625136015,0.1225792191119872,0.02691871561754918,0.1068118655581675,0.07402208693205334,0.06647321112948325,-0.07402208693205335,-0.06647321112948325,-0.9858687290652005,-0.9888948589157169,0.0030261298505164236
5,0.020050035158352096,0.02965822529314809,0.12257596470803278,0.03002917070264375,0.10946600271646689,0.07398304271589726,0.06634409571487104,-0.07398304271589726,-0.06634409571487103,-0.9908930384004616,-0.9938564318605057,0.0029633934600440393
6,0.020928986474381857,0.028224947375244877,0.12094978587923853,0.024330540183146242,0.10331061868579805,0.07311101855808999,0.06543053806857188,-0.07311101855809,-0.06543053806857188,-0.9898351053009038,-0.9927219051883198,0.002886799887416025
7,0.012939680528359965,0.03136856075569586,0.12401344065051147,0.03198051121497998,0.11079662394337479,0.07509057023672436,0.06716487928700263,-0.07509057023672436,-0.0671648792870026,-0.9982642214902048,-1.0012398698435467,0.002975648353341964
8,0.009066912207598504,0.03213211381063647,0.12472180933142142,0.030536044963102797,0.10928419287369641,0.07566003106950217,0.06766307753929982,-0.07566003106950217,-0.06766307753929982,-1.002412959896974,-1.005482769764322,0.003069809867348061
